plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,judgment_entry_date,violation_status
GZU8882,NY,PAS,8204033310,10/06/2016,03:20P,INSP. STICKER-EXPIRED/MISSING,65.0,0.0,0.0,0.0,65.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZWsxNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GVK9060,NY,OMS,8204033461,10/07/2016,07:17A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,108.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZWxFeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GFP6700,NY,PAS,8204033280,10/06/2016,02:25P,FAIL TO DSPLY MUNI METER RECPT,35.0,0.0,0.0,0.0,35.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZWtrMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HDW9709,NY,PAS,8204033266,10/06/2016,02:02P,FAIL TO DSPLY MUNI METER RECPT,35.0,0.0,0.0,0.0,35.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZWtreVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
5DV813,MA,999,8204033448,10/07/2016,07:07A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,115.0,0.0,0.0,108.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZWxFd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-NOT GUILTY
HFE3871,NY,PAS,4646073936,05/25/2018,01:49P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZW10NlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
M12KDE,NJ,PAS,4646073924,05/25/2018,01:49P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZW10NVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HAN5028,NY,PAS,8754626936,09/07/2019,05:56A,NO PARKING-DAY/TIME LIMITS,60.0,0.0,0.0,0.0,60.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VNUVXWGxPYW10NlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
7EYJ34,MD,PAS,4645833509,05/17/2018,12:47P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.17,0.13,75.04,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWxWM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08/09/2018,
605WUA,CT,PAS,8074042133,08/24/2016,09:57A,BIKE LANE,115.0,10.0,0.0,0.0,125.0,0.0,32.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wNUVRVEJOYWtWNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HHC5715,NY,PAS,8074042250,08/24/2016,01:26P,NO STANDING-EXC. TRUCK LOADING,95.0,30.0,0.0,0.0,125.0,0.0,23.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wNUVRVEJOYWtreFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HMT2117,NY,PAS,4646073950,05/25/2018,01:49P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZW1zeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
69198MG,NY,COM,8497797711,07/02/2018,02:28P,DOUBLE PARKING-MIDTOWN COMML,115.0,0.0,0.0,0.0,115.0,0.0,10.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZZelZPZW1ONFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY
GUW5511,NY,PAS,8529701914,03/09/2017,04:46P,INSP. STICKER-EXPIRED/MISSING,65.0,10.0,0.0,0.0,75.0,0.0,45.0,BX,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOVVZM2ROVkd0NFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
JXB4156,PA,PAS,4645833510,05/17/2018,12:50P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWxWNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
CDZ6909,NY,PAS,4646073948,05/25/2018,01:49P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZW1zd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
BRZ7593,NY,PAS,4009472390,09/25/2018,05:42P,BUS LANE VIOLATION,115.0,0.0,0.0,0.0,115.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVVVE5OYWswMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
T645427C,NY,OMT,4646073912,05/25/2018,01:49P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZW10NFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
FBH1829,NY,PAS,8204033576,10/07/2016,08:52A,NO PARKING-STREET CLEANING,45.0,0.0,0.0,0.0,45.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZWxVelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
FJF3206,NY,PAS,8204033710,10/07/2016,09:44A,NO PARKING-STREET CLEANING,45.0,0.0,0.0,0.0,45.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZW1ONFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GVC1858,NY,PAS,7499598135,08/18/2016,09:17P,FAIL TO DSPLY MUNI METER RECPT,65.0,60.0,0.34,0.06,125.28,0.0,20.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk5VOVVWVFZQUkVWNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12/08/2016,
GFL4550,NY,PAS,8204033734,10/07/2016,09:49A,NO PARKING-STREET CLEANING,45.0,0.0,0.0,0.0,45.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZW1ONlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GMV7655,NY,PAS,8484299405,01/12/2018,04:34P,FAIL TO DSPLY MUNI METER RECPT,65.0,10.0,0.0,0.0,75.0,0.0,10.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVTVFZQVkZGM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HGG8975,NY,PAS,8204033801,10/08/2016,08:08A,NO PARKING-DAY/TIME LIMITS,60.0,0.0,0.0,0.0,60.0,0.0,109.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZW1kM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GNU1347,OH,PAS,8204033590,10/07/2016,09:08A,FIRE HYDRANT,115.0,0.0,0.0,0.0,115.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZWxVMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
T671822C,NY,OMT,8204033606,10/07/2016,09:12A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZWxsM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
53778MC,NY,COM,8010153450,06/06/2016,09:26A,NO STANDING-DAY/TIME LIMITS,115.0,60.0,0.83,0.13,175.7,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVSVEZOZWxFeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11/10/2016,HEARING HELD-GUILTY REDUCTION
36559ME,NY,COM,8010153618,06/07/2016,08:11A,DOUBLE PARKING-MIDTOWN COMML,115.0,60.0,0.83,0.13,175.7,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVSVEZOZWxsNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11/10/2016,HEARING HELD-GUILTY REDUCTION
6K40H,NY,OMT,4646073985,05/25/2018,01:50P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZW1zMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
JKJ7106,NY,PAS,8754627060,09/07/2019,07:22A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VNUVXWGxPZWtFeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HZH4319,NY,PAS,4646073961,05/25/2018,01:49P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZW1zeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HJE7828,NY,PAS,8497064604,06/09/2017,01:21P,FIRE HYDRANT,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZRVEpPUkZsM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
3CJ0952,MD,PAS,4645833534,05/17/2018,12:51P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWxWNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GYH4002,NY,PAS,4009472418,09/25/2018,05:42P,BUS LANE VIOLATION,115.0,0.0,0.0,0.0,115.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVVVE5OYWxGNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GXU7163,NY,PAS,5096307311,05/05/2017,04:12P,FAILURE TO STOP AT RED LIGHT,50.0,25.0,2.01,0.02,76.99,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFUWGRPZWsxNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08/03/2017,
DPD8459,NY,PAS,7005781156,06/18/2015,02:53P,NO PARKING-DAY/TIME LIMITS,60.0,60.0,21.69,0.21,141.48,0.0,110.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmQwNVVZelJOVkVVeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10/08/2015,
HYB3397,NY,PAS,4009472406,09/25/2018,05:42P,BUS LANE VIOLATION,115.0,0.0,0.0,0.0,115.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVVVE5OYWxGM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
T737407C,NY,OMT,5096307438,05/05/2017,04:18P,FAILURE TO STOP AT RED LIGHT,50.0,25.0,1.53,0.06,76.47,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFUWGRPZWxGNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08/03/2017,
GHJ1329,NY,PAS,4646074000,05/25/2018,01:50P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5PUkVGM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GZT2195,NY,PAS,8204033886,10/08/2016,08:40A,FAIL TO DSPLY MUNI METER RECPT,35.0,0.0,0.0,0.0,35.0,0.0,109.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOZW1jMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HNB5749,NY,PAS,4646073997,05/25/2018,01:50P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZW1zMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
XBEV63,NJ,PAS,7499598342,08/19/2016,03:07P,NO STANDING-BUS STOP,115.0,0.0,0.0,4.99,110.01,0.0,20.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk5VOVVWVFZQUkUwd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY
FJF1904,NY,PAS,8754627205,09/07/2019,09:05A,INSP. STICKER-EXPIRED/MISSING,65.0,0.0,0.0,0.0,65.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VNUVXWGxPZWtsM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
40461PC,NY,999,7028239494,06/29/2015,,,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVVOUVTWHBQVkZFMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
FWB9710,NY,PAS,8204034039,10/10/2016,10:38A,FAIL TO DSPLY MUNI METER RECPT,35.0,0.0,0.0,35.0,0.0,0.0,110.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBPUkVGNlQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,ADMIN CLAIM GRANTED
BLW9813,NY,PAS,4009472431,09/25/2018,05:42P,BUS LANE VIOLATION,115.0,0.0,0.0,0.0,115.0,0.0,0.0,MN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVVVE5OYWxGNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
DXN4949,NY,PAS,5096307645,05/05/2017,04:37P,FAILURE TO STOP AT RED LIGHT,50.0,25.0,1.62,0.02,76.6,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFUWGRPZWxrd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08/03/2017,
KRP5917,PA,PAS,4645833571,05/17/2018,01:03P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWxVelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
XFRS42,NJ,PAS,8497797747,07/02/2018,02:47P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,115.0,0.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZZelZPZW1Nd1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-NOT GUILTY
55690ME,NY,COM,8513914680,06/12/2017,08:48A,NO PARKING-DAY/TIME LIMITS,65.0,0.0,0.0,0.0,65.0,0.0,19.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMTZhM2hPUkZrMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HWF9825,NY,PAS,4651361158,12/14/2018,10:24A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMVVUVEpOVkVVeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
CWW5907,NY,PAS,8523519440,05/04/2017,11:43A,NO PARKING-STREET CLEANING,45.0,0.0,0.0,0.0,45.0,0.0,48.0,BX,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVMTZWWGhQVkZFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GML2869,NY,PAS,4646074023,05/25/2018,01:50P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5PUkVGNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
44970MG,NY,COM,8512842994,06/08/2018,10:35A,EXPIRED MUNI MTR-COMM MTR ZN,65.0,0.0,0.0,0.0,65.0,0.0,19.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMXFaekJOYW1zMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
96544MJ,NY,COM,8485818740,06/09/2017,09:21A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,23.0,92.0,0.0,18.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVaM2hQUkdNd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
HHJ1800,NY,PAS,8511810894,03/30/2017,11:26A,NO STANDING-EXC. TRUCK LOADING,95.0,0.0,0.0,0.0,95.0,0.0,34.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMVVaM2hOUkdjMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
11721MC,NY,COM,8485818751,06/09/2017,09:31A,DOUBLE PARKING-MIDTOWN COMML,115.0,0.0,0.0,0.0,115.0,0.0,18.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVaM2hQUkdNeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY
DAX7934,NY,PAS,8204034283,10/10/2016,03:08P,NO PARKING-TAXI STAND,60.0,0.0,0.0,0.0,60.0,0.0,110.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBPUkVrMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GYV1245,NY,PAS,8204034222,10/10/2016,01:04P,NO PARKING-TAXI STAND,60.0,0.0,0.0,0.0,60.0,0.0,110.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBPUkVsNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HHL3206,NY,PAS,7499598640,08/20/2016,04:18P,FAIL TO DSPLY MUNI METER RECPT,35.0,60.0,0.07,0.02,95.05,0.0,34.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk5VOVVWVFZQUkZrd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12/08/2016,
HHL3206,NY,PAS,7499598652,08/20/2016,04:19P,REG. STICKER-EXPIRED/MISSING,65.0,60.0,0.09,0.03,125.06,0.0,34.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk5VOVVWVFZQUkZreFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12/08/2016,
KRW4075,PA,PAS,4645833613,05/17/2018,01:10P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWxsNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HYU2377,NY,PAS,8512843019,06/08/2018,11:11A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,19.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMXFaekJOZWtGNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
JGT0703,TX,PAS,8754627928,09/10/2019,08:49A,NO PARKING-STREET CLEANING,45.0,0.0,0.0,0.0,45.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VNUVXWGxPZW10NVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
18945TC,NY,TRC,8499185253,02/20/2018,01:57P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,115.0,0.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VOVVSVFJPVkVreFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-NOT GUILTY
EXMM24,FL,PAS,8202544452,12/10/2016,04:59P,FIRE HYDRANT,115.0,60.0,6.01,0.05,180.96,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwMXFWVEJPUkZFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",03/30/2017,
FHL5168,NY,PAS,8228540188,02/07/2017,08:41A,NO PARKING-STREET CLEANING,45.0,60.0,2.39,0.18,107.21,0.0,107.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVVOUVWVEJOUkVVMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",05/25/2017,
74251JX,NY,COM,8485818799,06/09/2017,10:07A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,23.0,92.0,0.0,18.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVaM2hQUkdNMVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
XBYJ45,NJ,PAS,7818347471,04/14/2015,,,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbmVFOUVUVEJPZWxFelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
FTM0853,PA,PAS,4645833637,05/17/2018,01:16P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWxsNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HKV4432,NY,PAS,8497064690,06/09/2017,04:28P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZRVEpPUkZrMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
75126JX,NY,COM,8513913406,06/02/2017,09:23A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,23.0,92.0,0.0,19.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMTZhM2hOZWxGM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
18653JL,NY,COM,8497064677,06/09/2017,04:21P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZRVEpPUkZrelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
